tstamp,sensortype,sensorID,value
2020-12-09 16:34:21,BME680,1,27.31
2020-12-09 16:34:28,BME680,1,27.3
2020-12-09 16:34:29,BME680,1,27.29
2020-12-09 16:34:30,BME680,1,27.28
2020-12-09 16:34:34,BME680,1,27.28
2020-12-09 16:34:36,BME680,1,27.27
2020-12-09 16:34:38,BME680,1,27.27
2020-12-09 16:34:42,BME680,1,27.26
2020-12-09 16:34:44,BME680,1,27.26
2020-12-09 16:34:46,BME680,1,27.26
2020-12-09 16:34:50,BME680,1,27.23
2020-12-09 16:34:52,BME680,1,27.23
2020-12-09 16:34:55,BME680,1,28.78
2020-12-09 16:34:59,BME680,1,30.81
2020-12-09 16:35:00,BME680,1,31.38
2020-12-09 16:35:05,BME680,1,30.8
2020-12-09 16:35:07,BME680,1,30.6
2020-12-09 16:35:11,BME680,1,29.93
2020-12-09 16:35:15,BME680,1,29.46
2020-12-09 16:35:17,BME680,1,29.26
2020-12-09 16:35:19,BME680,1,29.13
2020-12-09 16:35:20,BME680,1,28.97
2020-12-09 16:35:26,BME680,1,28.5
2020-12-09 16:35:29,BME680,1,28.32
2020-12-09 16:35:29,BME680,1,28.25
2020-12-09 16:35:32,BME680,1,28.08
2020-12-09 16:35:36,BME680,1,27.92
2020-12-09 16:35:38,BME680,1,27.86
2020-12-09 16:35:41,BME680,1,27.83
2020-12-09 16:35:46,BME680,1,27.79
2020-12-09 16:35:47,BME680,1,27.79
2020-12-09 16:35:51,BME680,1,27.78
2020-12-09 16:35:55,BME680,1,27.77
2020-12-09 16:36:00,BME680,1,27.75
2020-12-09 16:36:05,BME680,1,27.73
2020-12-09 16:36:10,BME680,1,27.71
2020-12-09 16:36:13,BME680,1,27.69
2020-12-09 16:36:15,BME680,1,27.68
2020-12-09 16:36:20,BME680,1,27.66
2020-12-09 16:36:21,BME680,1,27.66
2020-12-09 16:36:24,BME680,1,27.65
2020-12-09 16:36:28,BME680,1,27.63
2020-12-09 16:36:33,BME680,1,27.61
