tstamp,,,value
09-12-20 16:34,,,27.31
09-12-20 16:34,,,27.3
09-12-20 16:34,,,27.29
09-12-20 16:34,,,27.28
09-12-20 16:34,,,27.28
09-12-20 16:34,,,27.27
09-12-20 16:34,,,27.27
09-12-20 16:34,,,27.26
09-12-20 16:34,,,27.26
09-12-20 16:34,,,27.26
09-12-20 16:34,,,27.23
09-12-20 16:34,,,27.23
09-12-20 16:34,,,28.78
09-12-20 16:34,,,30.81
09-12-20 16:35,,,31.38
09-12-20 16:35,,,30.8
09-12-20 16:35,,,30.6
09-12-20 16:35,,,29.93
09-12-20 16:35,,,29.46
09-12-20 16:35,,,29.26
09-12-20 16:35,,,29.13
09-12-20 16:35,,,28.97
09-12-20 16:35,,,28.5
09-12-20 16:35,,,28.32
09-12-20 16:35,,,28.25
09-12-20 16:35,,,28.08
09-12-20 16:35,,,27.92
09-12-20 16:35,,,27.86
09-12-20 16:35,,,27.83
09-12-20 16:35,,,27.79
09-12-20 16:35,,,27.79
09-12-20 16:35,,,27.78
09-12-20 16:35,,,27.77
09-12-20 16:36,,,27.75
09-12-20 16:36,,,27.73
09-12-20 16:36,,,27.71
09-12-20 16:36,,,27.69
09-12-20 16:36,,,27.68
09-12-20 16:36,,,27.66
09-12-20 16:36,,,27.66
09-12-20 16:36,,,27.65
09-12-20 16:36,,,27.63
09-12-20 16:36,,,27.61
